Estado,Sorteo,Fecha,Venta_Estado,ID
Guanajuato,MI SUENO 5,2016/03/19 00:00:00,4300,11
Guerrero,MI SUENO 5,2016/03/19 00:00:00,828,12
Hidalgo,MI SUENO 5,2016/03/19 00:00:00,1638,13
Jalisco,MI SUENO 5,2016/03/19 00:00:00,24932,14
Estado de Mexico,MI SUENO 5,2016/03/19 00:00:00,2435,15
Michoacan de Ocampo,MI SUENO 5,2016/03/19 00:00:00,3925,16
Morelos,MI SUENO 5,2016/03/19 00:00:00,1194,17
Nayarit,MI SUENO 5,2016/03/19 00:00:00,2157,18
Nuevo Leon,MI SUENO 5,2016/03/19 00:00:00,98750,19
Oaxaca,MI SUENO 5,2016/03/19 00:00:00,1280,20
Puebla,MI SUENO 5,2016/03/19 00:00:00,2295,21
Queretaro,MI SUENO 5,2016/03/19 00:00:00,6814,22
Quintana Roo,MI SUENO 5,2016/03/19 00:00:00,1312,23
San Luis Potosi,MI SUENO 5,2016/03/19 00:00:00,3205,24
Sinaloa,MI SUENO 5,2016/03/19 00:00:00,10433,25
Sonora,MI SUENO 5,2016/03/19 00:00:00,11052,26
Tabasco,MI SUENO 5,2016/03/19 00:00:00,3742,27
Tamaulipas,MI SUENO 5,2016/03/19 00:00:00,20515,28
Veracruz de Ignacio de la Llave,MI SUENO 5,2016/03/19 00:00:00,4875,30
Yucatan,MI SUENO 5,2016/03/19 00:00:00,1750,31
Zacatecas,MI SUENO 5,2016/03/19 00:00:00,2108,32
Oficina Virtual,MI SUENO 5,2016/03/19 00:00:00,22418,33
Aguascalientes,MI SUENO 6,2016/07/23 00:00:00,2256,1
Baja California,MI SUENO 6,2016/07/23 00:00:00,3906,2
Baja California Sur,MI SUENO 6,2016/07/23 00:00:00,3405,3
Coahuila de Zaragoza,MI SUENO 6,2016/07/23 00:00:00,12163,5
Colima,MI SUENO 6,2016/07/23 00:00:00,3471,6
Chiapas,MI SUENO 6,2016/07/23 00:00:00,1203,7
Chihuahua,MI SUENO 6,2016/07/23 00:00:00,7752,8
Distrito Federal,MI SUENO 6,2016/07/23 00:00:00,12731,9
Durango,MI SUENO 6,2016/07/23 00:00:00,2658,10
Guanajuato,MI SUENO 6,2016/07/23 00:00:00,3948,11
Guerrero,MI SUENO 6,2016/07/23 00:00:00,989,12
Hidalgo,MI SUENO 6,2016/07/23 00:00:00,1517,13
Jalisco,MI SUENO 6,2016/07/23 00:00:00,26448,14
Estado de Mexico,MI SUENO 6,2016/07/23 00:00:00,2857,15
Michoacan de Ocampo,MI SUENO 6,2016/07/23 00:00:00,4157,16
Morelos,MI SUENO 6,2016/07/23 00:00:00,1185,17
Nayarit,MI SUENO 6,2016/07/23 00:00:00,2335,18
Nuevo Leon,MI SUENO 6,2016/07/23 00:00:00,100184,19
Oaxaca,MI SUENO 6,2016/07/23 00:00:00,1292,20
Puebla,MI SUENO 6,2016/07/23 00:00:00,2745,21
Queretaro,MI SUENO 6,2016/07/23 00:00:00,6447,22
Quintana Roo,MI SUENO 6,2016/07/23 00:00:00,1083,23
San Luis Potosi,MI SUENO 6,2016/07/23 00:00:00,3388,24
Sinaloa,MI SUENO 6,2016/07/23 00:00:00,10351,25
Sonora,MI SUENO 6,2016/07/23 00:00:00,10568,26
Tabasco,MI SUENO 6,2016/07/23 00:00:00,3270,27
Tamaulipas,MI SUENO 6,2016/07/23 00:00:00,18936,28
Veracruz de Ignacio de la Llave,MI SUENO 6,2016/07/23 00:00:00,4356,30
Yucatan,MI SUENO 6,2016/07/23 00:00:00,1618,31
Zacatecas,MI SUENO 6,2016/07/23 00:00:00,2360,32
Oficina Virtual,MI SUENO 6,2016/07/23 00:00:00,24623,33
Aguascalientes,MI SUENO 7,2016/10/22 00:00:00,2423,1
Baja California,MI SUENO 7,2016/10/22 00:00:00,4033,2
Baja California Sur,MI SUENO 7,2016/10/22 00:00:00,3547,3
Coahuila de Zaragoza,MI SUENO 7,2016/10/22 00:00:00,11749,5
Colima,MI SUENO 7,2016/10/22 00:00:00,3718,6
Chiapas,MI SUENO 7,2016/10/22 00:00:00,1053,7
Chihuahua,MI SUENO 7,2016/10/22 00:00:00,8718,8
Distrito Federal,MI SUENO 7,2016/10/22 00:00:00,13165,9
Durango,MI SUENO 7,2016/10/22 00:00:00,2783,10
Guanajuato,MI SUENO 7,2016/10/22 00:00:00,4526,11
Guerrero,MI SUENO 7,2016/10/22 00:00:00,955,12
Hidalgo,MI SUENO 7,2016/10/22 00:00:00,1666,13
Jalisco,MI SUENO 7,2016/10/22 00:00:00,26217,14
Estado de Mexico,MI SUENO 7,2016/10/22 00:00:00,2612,15
Michoacan de Ocampo,MI SUENO 7,2016/10/22 00:00:00,4306,16
Morelos,MI SUENO 7,2016/10/22 00:00:00,1424,17
Nayarit,MI SUENO 7,2016/10/22 00:00:00,2111,18
Nuevo Leon,MI SUENO 7,2016/10/22 00:00:00,91324,19
Oaxaca,MI SUENO 7,2016/10/22 00:00:00,1375,20
Puebla,MI SUENO 7,2016/10/22 00:00:00,3040,21
Queretaro,MI SUENO 7,2016/10/22 00:00:00,6691,22
Quintana Roo,MI SUENO 7,2016/10/22 00:00:00,1277,23
San Luis Potosi,MI SUENO 7,2016/10/22 00:00:00,3272,24
Sinaloa,MI SUENO 7,2016/10/22 00:00:00,11188,25
Sonora,MI SUENO 7,2016/10/22 00:00:00,10899,26
Tabasco,MI SUENO 7,2016/10/22 00:00:00,3741,27
Tamaulipas,MI SUENO 7,2016/10/22 00:00:00,19217,28
Veracruz de Ignacio de la Llave,MI SUENO 7,2016/10/22 00:00:00,4972,30
Yucatan,MI SUENO 7,2016/10/22 00:00:00,1791,31
Zacatecas,MI SUENO 7,2016/10/22 00:00:00,2497,32
Oficina Virtual,MI SUENO 7,2016/10/22 00:00:00,26341,33
Aguascalientes,MI SUENO 8,2017/03/18 00:00:00,2562,1
Baja California,MI SUENO 8,2017/03/18 00:00:00,3334,2
Baja California Sur,MI SUENO 8,2017/03/18 00:00:00,3939,3
Coahuila de Zaragoza,MI SUENO 8,2017/03/18 00:00:00,12338,5
Colima,MI SUENO 8,2017/03/18 00:00:00,3715,6
Chiapas,MI SUENO 8,2017/03/18 00:00:00,1246,7
Chihuahua,MI SUENO 8,2017/03/18 00:00:00,8427,8
Distrito Federal,MI SUENO 8,2017/03/18 00:00:00,13698,9
Durango,MI SUENO 8,2017/03/18 00:00:00,2137,10
Guanajuato,MI SUENO 8,2017/03/18 00:00:00,4136,11
Guerrero,MI SUENO 8,2017/03/18 00:00:00,911,12
Hidalgo,MI SUENO 8,2017/03/18 00:00:00,1177,13
Jalisco,MI SUENO 8,2017/03/18 00:00:00,27700,14
Estado de Mexico,MI SUENO 8,2017/03/18 00:00:00,2954,15
Michoacan de Ocampo,MI SUENO 8,2017/03/18 00:00:00,3789,16
Morelos,MI SUENO 8,2017/03/18 00:00:00,883,17
Nayarit,MI SUENO 8,2017/03/18 00:00:00,2399,18
Nuevo Leon,MI SUENO 8,2017/03/18 00:00:00,97882,19
Oaxaca,MI SUENO 8,2017/03/18 00:00:00,976,20
Puebla,MI SUENO 8,2017/03/18 00:00:00,3279,21
Queretaro,MI SUENO 8,2017/03/18 00:00:00,6974,22
Quintana Roo,MI SUENO 8,2017/03/18 00:00:00,1313,23
San Luis Potosi,MI SUENO 8,2017/03/18 00:00:00,3315,24
Sinaloa,MI SUENO 8,2017/03/18 00:00:00,10604,25
Sonora,MI SUENO 8,2017/03/18 00:00:00,10829,26
Tabasco,MI SUENO 8,2017/03/18 00:00:00,4057,27
Tamaulipas,MI SUENO 8,2017/03/18 00:00:00,18394,28
Veracruz de Ignacio de la Llave,MI SUENO 8,2017/03/18 00:00:00,4382,30
Yucatan,MI SUENO 8,2017/03/18 00:00:00,1459,31
Zacatecas,MI SUENO 8,2017/03/18 00:00:00,2506,32
Oficina Virtual,MI SUENO 8,2017/03/18 00:00:00,29106,33
