Estado,Sorteo,Fecha,Venta_Estado,ID
Morelos,TRADICIONAL 201,2016/06/18 00:00:00,1494,17
Nayarit,TRADICIONAL 201,2016/06/18 00:00:00,2323,18
Nuevo Leon,TRADICIONAL 201,2016/06/18 00:00:00,79397,19
Oaxaca,TRADICIONAL 201,2016/06/18 00:00:00,1270,20
Puebla,TRADICIONAL 201,2016/06/18 00:00:00,2224,21
Queretaro,TRADICIONAL 201,2016/06/18 00:00:00,6696,22
Quintana Roo,TRADICIONAL 201,2016/06/18 00:00:00,1248,23
San Luis Potosi,TRADICIONAL 201,2016/06/18 00:00:00,3327,24
Sinaloa,TRADICIONAL 201,2016/06/18 00:00:00,12719,25
Sonora,TRADICIONAL 201,2016/06/18 00:00:00,10112,26
Tabasco,TRADICIONAL 201,2016/06/18 00:00:00,4557,27
Tamaulipas,TRADICIONAL 201,2016/06/18 00:00:00,19753,28
Veracruz de Ignacio de la Llave,TRADICIONAL 201,2016/06/18 00:00:00,4955,30
Yucatan,TRADICIONAL 201,2016/06/18 00:00:00,1839,31
Zacatecas,TRADICIONAL 201,2016/06/18 00:00:00,2791,32
Oficina Virtual,TRADICIONAL 201,2016/06/18 00:00:00,16288,33
Aguascalientes,TRADICIONAL 202,2016/12/22 00:00:00,3349,1
Baja California,TRADICIONAL 202,2016/12/22 00:00:00,4272,2
Baja California Sur,TRADICIONAL 202,2016/12/22 00:00:00,3523,3
Coahuila de Zaragoza,TRADICIONAL 202,2016/12/22 00:00:00,15227,5
Colima,TRADICIONAL 202,2016/12/22 00:00:00,4343,6
Chiapas,TRADICIONAL 202,2016/12/22 00:00:00,1658,7
Chihuahua,TRADICIONAL 202,2016/12/22 00:00:00,9784,8
Durango,TRADICIONAL 202,2016/12/22 00:00:00,3213,10
Guanajuato,TRADICIONAL 202,2016/12/22 00:00:00,5428,11
Guerrero,TRADICIONAL 202,2016/12/22 00:00:00,1151,12
Hidalgo,TRADICIONAL 202,2016/12/22 00:00:00,2025,13
Jalisco,TRADICIONAL 202,2016/12/22 00:00:00,21780,14
Mexico,TRADICIONAL 202,2016/12/22 00:00:00,15393,15
Michoacan de Ocampo,TRADICIONAL 202,2016/12/22 00:00:00,6564,16
Morelos,TRADICIONAL 202,2016/12/22 00:00:00,1652,17
Nayarit,TRADICIONAL 202,2016/12/22 00:00:00,2930,18
Nuevo Leon,TRADICIONAL 202,2016/12/22 00:00:00,84099,19
Oaxaca,TRADICIONAL 202,2016/12/22 00:00:00,1453,20
Puebla,TRADICIONAL 202,2016/12/22 00:00:00,2569,21
Queretaro,TRADICIONAL 202,2016/12/22 00:00:00,8790,22
Quintana Roo,TRADICIONAL 202,2016/12/22 00:00:00,1291,23
San Luis Potosi,TRADICIONAL 202,2016/12/22 00:00:00,3921,24
Sinaloa,TRADICIONAL 202,2016/12/22 00:00:00,14054,25
Sonora,TRADICIONAL 202,2016/12/22 00:00:00,11742,26
Tabasco,TRADICIONAL 202,2016/12/22 00:00:00,5507,27
Tamaulipas,TRADICIONAL 202,2016/12/22 00:00:00,22698,28
Veracruz de Ignacio de la Llave,TRADICIONAL 202,2016/12/22 00:00:00,5690,30
