ï»¿Estado,Sorteo,Fecha,Venta_Estado,ID
Mexico,EDUCATIVO 26,18/02/17 0:00,25553,15
Michoacan de Ocampo,EDUCATIVO 26,18/02/17 0:00,9923,16
Morelos,EDUCATIVO 26,18/02/17 0:00,1923,17
Nayarit,EDUCATIVO 26,18/02/17 0:00,5947,18
Nuevo Leon,EDUCATIVO 26,18/02/17 0:00,176897,19
Oaxaca,EDUCATIVO 26,18/02/17 0:00,2993,20
Puebla,EDUCATIVO 26,18/02/17 0:00,5342,21
Queretaro,EDUCATIVO 26,18/02/17 0:00,11411,22
Quintana Roo,EDUCATIVO 26,18/02/17 0:00,2229,23
San Luis Potosi,EDUCATIVO 26,18/02/17 0:00,6042,24
Sinaloa,EDUCATIVO 26,18/02/17 0:00,22082,25
Sonora,EDUCATIVO 26,18/02/17 0:00,21558,26
Tabasco,EDUCATIVO 26,18/02/17 0:00,7561,27
Tamaulipas,EDUCATIVO 26,18/02/17 0:00,40121,28
Veracruz de Ignacio de la Llave,EDUCATIVO 26,18/02/17 0:00,9398,30
Yucatan,EDUCATIVO 26,18/02/17 0:00,3321,31
Zacatecas,EDUCATIVO 26,18/02/17 0:00,5243,32
Oficina Virtual,EDUCATIVO 26,18/02/17 0:00,28162,33
Aguascalientes,EDUCATIVO 27,21/05/17 0:00,4350,1
Baja California,EDUCATIVO 27,21/05/17 0:00,7239,2
Baja California Sur,EDUCATIVO 27,21/05/17 0:00,7933,3
Coahuila de Zaragoza,EDUCATIVO 27,21/05/17 0:00,28154,5
Colima,EDUCATIVO 27,21/05/17 0:00,8791,6
Chiapas,EDUCATIVO 27,21/05/17 0:00,1829,7
Chihuahua,EDUCATIVO 27,21/05/17 0:00,16100,8
Durango,EDUCATIVO 27,21/05/17 0:00,4486,10
Guanajuato,EDUCATIVO 27,21/05/17 0:00,8223,11
Guerrero,EDUCATIVO 27,21/05/17 0:00,1818,12
Hidalgo,EDUCATIVO 27,21/05/17 0:00,2510,13
Jalisco,EDUCATIVO 27,21/05/17 0:00,61803,14
Mexico,EDUCATIVO 27,21/05/17 0:00,26015,15
Michoacan de Ocampo,EDUCATIVO 27,21/05/17 0:00,10135,16
Morelos,EDUCATIVO 27,21/05/17 0:00,2014,17
Nayarit,EDUCATIVO 27,21/05/17 0:00,5513,18
Nuevo Leon,EDUCATIVO 27,21/05/17 0:00,179030,19
Oaxaca,EDUCATIVO 27,21/05/17 0:00,1789,20
Puebla,EDUCATIVO 27,21/05/17 0:00,5417,21
Queretaro,EDUCATIVO 27,21/05/17 0:00,10573,22
Quintana Roo,EDUCATIVO 27,21/05/17 0:00,2154,23
San Luis Potosi,EDUCATIVO 27,21/05/17 0:00,5731,24
Sinaloa,EDUCATIVO 27,21/05/17 0:00,21954,25
Sonora,EDUCATIVO 27,21/05/17 0:00,22282,26
Tabasco,EDUCATIVO 27,21/05/17 0:00,7597,27
Tamaulipas,EDUCATIVO 27,21/05/17 0:00,37736,28
Veracruz de Ignacio de la Llave,EDUCATIVO 27,21/05/17 0:00,9000,30
Yucatan,EDUCATIVO 27,21/05/17 0:00,3050,31
Zacatecas,EDUCATIVO 27,21/05/17 0:00,4591,32
Oficina Virtual,EDUCATIVO 27,21/05/17 0:00,31143,33
Aguascalientes,EDUCATIVO 28,19/08/17 0:00,4598,1
Baja California,EDUCATIVO 28,19/08/17 0:00,6904,2
Baja California Sur,EDUCATIVO 28,19/08/17 0:00,7277,3
Coahuila de Zaragoza,EDUCATIVO 28,19/08/17 0:00,27833,5
Colima,EDUCATIVO 28,19/08/17 0:00,8145,6
Chiapas,EDUCATIVO 28,19/08/17 0:00,1795,7
Chihuahua,EDUCATIVO 28,19/08/17 0:00,15886,8
Durango,EDUCATIVO 28,19/08/17 0:00,3968,10
Guanajuato,EDUCATIVO 28,19/08/17 0:00,8440,11
Guerrero,EDUCATIVO 28,19/08/17 0:00,1725,12
Hidalgo,EDUCATIVO 28,19/08/17 0:00,2143,13
Jalisco,EDUCATIVO 28,19/08/17 0:00,59688,14
Mexico,EDUCATIVO 28,19/08/17 0:00,25435,15
Michoacan de Ocampo,EDUCATIVO 28,19/08/17 0:00,8405,16
Morelos,EDUCATIVO 28,19/08/17 0:00,1851,17
Nayarit,EDUCATIVO 28,19/08/17 0:00,5909,18
Nuevo Leon,EDUCATIVO 28,19/08/17 0:00,162932,19
Oaxaca,EDUCATIVO 28,19/08/17 0:00,1631,20
Puebla,EDUCATIVO 28,19/08/17 0:00,5260,21
Queretaro,EDUCATIVO 28,19/08/17 0:00,9964,22
Quintana Roo,EDUCATIVO 28,19/08/17 0:00,1987,23
San Luis Potosi,EDUCATIVO 28,19/08/17 0:00,5864,24
Sinaloa,EDUCATIVO 28,19/08/17 0:00,21321,25
Sonora,EDUCATIVO 28,19/08/17 0:00,20299,26
Tabasco,EDUCATIVO 28,19/08/17 0:00,7103,27
Tamaulipas,EDUCATIVO 28,19/08/17 0:00,35360,28
Veracruz de Ignacio de la Llave,EDUCATIVO 28,19/08/17 0:00,7986,30
Yucatan,EDUCATIVO 28,19/08/17 0:00,2827,31
Zacatecas,EDUCATIVO 28,19/08/17 0:00,4986,32
Oficina Virtual,EDUCATIVO 28,19/08/17 0:00,31550,33
Aguascalientes,EDUCATIVO 29,18/11/17 0:00,4665,1
Baja California,EDUCATIVO 29,18/11/17 0:00,7168,2
Baja California Sur,EDUCATIVO 29,18/11/17 0:00,7006,3
Coahuila de Zaragoza,EDUCATIVO 29,18/11/17 0:00,26746,5
Colima,EDUCATIVO 29,18/11/17 0:00,8301,6
Chiapas,EDUCATIVO 29,18/11/17 0:00,1841,7
Chihuahua,EDUCATIVO 29,18/11/17 0:00,15216,8
Durango,EDUCATIVO 29,18/11/17 0:00,4443,10
Guanajuato,EDUCATIVO 29,18/11/17 0:00,7609,11
Guerrero,EDUCATIVO 29,18/11/17 0:00,1683,12
Hidalgo,EDUCATIVO 29,18/11/17 0:00,2236,13
Jalisco,EDUCATIVO 29,18/11/17 0:00,61574,14
Mexico,EDUCATIVO 29,18/11/17 0:00,27238,15
Michoacan de Ocampo,EDUCATIVO 29,18/11/17 0:00,9459,16
Morelos,EDUCATIVO 29,18/11/17 0:00,2021,17
Nayarit,EDUCATIVO 29,18/11/17 0:00,5683,18
Nuevo Leon,EDUCATIVO 29,18/11/17 0:00,160115,19
Oaxaca,EDUCATIVO 29,18/11/17 0:00,1455,20
Puebla,EDUCATIVO 29,18/11/17 0:00,4897,21
Queretaro,EDUCATIVO 29,18/11/17 0:00,10143,22
Quintana Roo,EDUCATIVO 29,18/11/17 0:00,2045,23
San Luis Potosi,EDUCATIVO 29,18/11/17 0:00,5782,24
Sinaloa,EDUCATIVO 29,18/11/17 0:00,21201,25
Sonora,EDUCATIVO 29,18/11/17 0:00,21830,26
Tabasco,EDUCATIVO 29,18/11/17 0:00,6695,27
Tamaulipas,EDUCATIVO 29,18/11/17 0:00,35549,28
Veracruz de Ignacio de la Llave,EDUCATIVO 29,18/11/17 0:00,8293,30
Yucatan,EDUCATIVO 29,18/11/17 0:00,2914,31
Zacatecas,EDUCATIVO 29,18/11/17 0:00,4212,32
Oficina Virtual,EDUCATIVO 29,18/11/17 0:00,32381,33
Aguascalientes,EDUCATIVO 30,24/02/18 0:00,4690,1
Baja California,EDUCATIVO 30,24/02/18 0:00,7203,2
Baja California Sur,EDUCATIVO 30,24/02/18 0:00,7332,3
Coahuila de Zaragoza,EDUCATIVO 30,24/02/18 0:00,25813,5
Colima,EDUCATIVO 30,24/02/18 0:00,8998,6
Chiapas,EDUCATIVO 30,24/02/18 0:00,1834,7
Chihuahua,EDUCATIVO 30,24/02/18 0:00,14689,8
Durango,EDUCATIVO 30,24/02/18 0:00,4163,10
Guanajuato,EDUCATIVO 30,24/02/18 0:00,7752,11
Guerrero,EDUCATIVO 30,24/02/18 0:00,1748,12
Hidalgo,EDUCATIVO 30,24/02/18 0:00,2206,13
Jalisco,EDUCATIVO 30,24/02/18 0:00,62182,14
Mexico,EDUCATIVO 30,24/02/18 0:00,28283,15
Michoacan de Ocampo,EDUCATIVO 30,24/02/18 0:00,8679,16
Morelos,EDUCATIVO 30,24/02/18 0:00,2173,17
Nayarit,EDUCATIVO 30,24/02/18 0:00,6170,18
Nuevo Leon,EDUCATIVO 30,24/02/18 0:00,157894,19
Oaxaca,EDUCATIVO 30,24/02/18 0:00,1658,20
Puebla,EDUCATIVO 30,24/02/18 0:00,4929,21
Queretaro,EDUCATIVO 30,24/02/18 0:00,10000,22
Quintana Roo,EDUCATIVO 30,24/02/18 0:00,2217,23
San Luis Potosi,EDUCATIVO 30,24/02/18 0:00,5937,24
Sinaloa,EDUCATIVO 30,24/02/18 0:00,21416,25
Sonora,EDUCATIVO 30,24/02/18 0:00,19882,26
Tabasco,EDUCATIVO 30,24/02/18 0:00,5956,27
Tamaulipas,EDUCATIVO 30,24/02/18 0:00,36135,28
Veracruz de Ignacio de la Llave,EDUCATIVO 30,24/02/18 0:00,8619,30
Yucatan,EDUCATIVO 30,24/02/18 0:00,2783,31
Zacatecas,EDUCATIVO 30,24/02/18 0:00,4258,32
Oficina Virtual,EDUCATIVO 30,24/02/18 0:00,34786,33
Aguascalientes,EDUCATIVO 31,19/05/18 0:00,4374,1
Baja California,EDUCATIVO 31,19/05/18 0:00,7217,2
Baja California Sur,EDUCATIVO 31,19/05/18 0:00,7627,3
Coahuila de Zaragoza,EDUCATIVO 31,19/05/18 0:00,24424,5
Colima,EDUCATIVO 31,19/05/18 0:00,9290,6
Chiapas,EDUCATIVO 31,19/05/18 0:00,1709,7
Chihuahua,EDUCATIVO 31,19/05/18 0:00,14516,8
Durango,EDUCATIVO 31,19/05/18 0:00,4236,10
Guanajuato,EDUCATIVO 31,19/05/18 0:00,7470,11
Guerrero,EDUCATIVO 31,19/05/18 0:00,1355,12
Hidalgo,EDUCATIVO 31,19/05/18 0:00,2143,13
Jalisco,EDUCATIVO 31,19/05/18 0:00,58752,14
Mexico,EDUCATIVO 31,19/05/18 0:00,26015,15
Michoacan de Ocampo,EDUCATIVO 31,19/05/18 0:00,7625,16
Morelos,EDUCATIVO 31,19/05/18 0:00,2188,17
Nayarit,EDUCATIVO 31,19/05/18 0:00,6356,18
Nuevo Leon,EDUCATIVO 31,19/05/18 0:00,150574,19
Oaxaca,EDUCATIVO 31,19/05/18 0:00,1838,20
Puebla,EDUCATIVO 31,19/05/18 0:00,5423,21
Queretaro,EDUCATIVO 31,19/05/18 0:00,10297,22
Quintana Roo,EDUCATIVO 31,19/05/18 0:00,2042,23
San Luis Potosi,EDUCATIVO 31,19/05/18 0:00,5809,24
Sinaloa,EDUCATIVO 31,19/05/18 0:00,20078,25
Sonora,EDUCATIVO 31,19/05/18 0:00,18225,26
Tabasco,EDUCATIVO 31,19/05/18 0:00,5479,27
Tamaulipas,EDUCATIVO 31,19/05/18 0:00,34473,28
Veracruz de Ignacio de la Llave,EDUCATIVO 31,19/05/18 0:00,8259,30
Yucatan,EDUCATIVO 31,19/05/18 0:00,3180,31
Zacatecas,EDUCATIVO 31,19/05/18 0:00,4154,32
Oficina Virtual,EDUCATIVO 31,19/05/18 0:00,34613,33
Aguascalientes,EDUCATIVO 32,18/08/18 0:00,4256.034483,1
Baja California,EDUCATIVO 32,18/08/18 0:00,5633.758621,2
Baja California Sur,EDUCATIVO 32,18/08/18 0:00,6479.241379,3
Coahuila de Zaragoza,EDUCATIVO 32,18/08/18 0:00,21700.34483,5
Colima,EDUCATIVO 32,18/08/18 0:00,8640.206897,6
Chiapas,EDUCATIVO 32,18/08/18 0:00,306.5172414,7
Chihuahua,EDUCATIVO 32,18/08/18 0:00,13546.62069,8
Durango,EDUCATIVO 32,18/08/18 0:00,3787.310345,10
Guanajuato,EDUCATIVO 32,18/08/18 0:00,7546.172414,11
Guerrero,EDUCATIVO 32,18/08/18 0:00,1434,12
Hidalgo,EDUCATIVO 32,18/08/18 0:00,2119.448276,13
Jalisco,EDUCATIVO 32,18/08/18 0:00,52799,14
Mexico,EDUCATIVO 32,18/08/18 0:00,25100.62069,15
Michoacan de Ocampo,EDUCATIVO 32,18/08/18 0:00,7041.103448,16
Morelos,EDUCATIVO 32,18/08/18 0:00,2189,17
Nayarit,EDUCATIVO 32,18/08/18 0:00,5927.517241,18
Nuevo Leon,EDUCATIVO 32,18/08/18 0:00,142473,19
Oaxaca,EDUCATIVO 32,18/08/18 0:00,1450.758621,20
Puebla,EDUCATIVO 32,18/08/18 0:00,4717.241379,21
Queretaro,EDUCATIVO 32,18/08/18 0:00,10132.13793,22
Quintana Roo,EDUCATIVO 32,18/08/18 0:00,1866.931034,23
San Luis Potosi,EDUCATIVO 32,18/08/18 0:00,5475.068966,24
Sinaloa,EDUCATIVO 32,18/08/18 0:00,18399.10345,25
Sonora,EDUCATIVO 32,18/08/18 0:00,17565.37931,26
Tabasco,EDUCATIVO 32,18/08/18 0:00,8077.965517,27
Tamaulipas,EDUCATIVO 32,18/08/18 0:00,32179.7931,28
Veracruz de Ignacio de la Llave,EDUCATIVO 32,18/08/18 0:00,6645.137931,30
Yucatan,EDUCATIVO 32,18/08/18 0:00,2900,31
Zacatecas,EDUCATIVO 32,18/08/18 0:00,4021.758621,32
Oficina Virtual,EDUCATIVO 32,18/08/18 0:00,32217,33
Aguascalientes,EDUCATIVO 33,17/11/18 0:00,5041.862069,1
Baja California,EDUCATIVO 33,17/11/18 0:00,6693.310345,2
Baja California Sur,EDUCATIVO 33,17/11/18 0:00,7130.965517,3
Coahuila de Zaragoza,EDUCATIVO 33,17/11/18 0:00,24320.82759,5
Colima,EDUCATIVO 33,17/11/18 0:00,9259.413793,6
Chiapas,EDUCATIVO 33,17/11/18 0:00,262,7
Chihuahua,EDUCATIVO 33,17/11/18 0:00,15096.03448,8
Durango,EDUCATIVO 33,17/11/18 0:00,4738.344828,10
Guanajuato,EDUCATIVO 33,17/11/18 0:00,8154.827586,11
Guerrero,EDUCATIVO 33,17/11/18 0:00,1535.448276,12
Hidalgo,EDUCATIVO 33,17/11/18 0:00,320,13
Jalisco,EDUCATIVO 33,17/11/18 0:00,55239.34483,14
Mexico,EDUCATIVO 33,17/11/18 0:00,28200.7931,15
Michoacan de Ocampo,EDUCATIVO 33,17/11/18 0:00,8131.896552,16
Morelos,EDUCATIVO 33,17/11/18 0:00,2390.586207,17
Nayarit,EDUCATIVO 33,17/11/18 0:00,6513.482759,18
Nuevo Leon,EDUCATIVO 33,17/11/18 0:00,142622.6552,19
Oaxaca,EDUCATIVO 33,17/11/18 0:00,191,20
Puebla,EDUCATIVO 33,17/11/18 0:00,9147.431034,21
Queretaro,EDUCATIVO 33,17/11/18 0:00,10843.91379,22
Quintana Roo,EDUCATIVO 33,17/11/18 0:00,1906.241379,23
