Estado,Sorteo,Fecha,Venta_Estado,ID
Durango,AVENTURATE 5,2016/04/21 00:00:00,1915,10
Guanajuato,AVENTURATE 5,2016/04/21 00:00:00,2306,11
Guerrero,AVENTURATE 5,2016/04/21 00:00:00,946,12
Hidalgo,AVENTURATE 5,2016/04/21 00:00:00,1036,13
Jalisco,AVENTURATE 5,2016/04/21 00:00:00,8263,14
Mexico,AVENTURATE 5,2016/04/21 00:00:00,10232,15
Michoacan de Ocampo,AVENTURATE 5,2016/04/21 00:00:00,1640,16
Morelos,AVENTURATE 5,2016/04/21 00:00:00,789,17
Nayarit,AVENTURATE 5,2016/04/21 00:00:00,1309,18
Nuevo Leon,AVENTURATE 5,2016/04/21 00:00:00,16500,19
Oaxaca,AVENTURATE 5,2016/04/21 00:00:00,436,20
Puebla,AVENTURATE 5,2016/04/21 00:00:00,1732,21
Queretaro,AVENTURATE 5,2016/04/21 00:00:00,2763,22
Quintana Roo,AVENTURATE 5,2016/04/21 00:00:00,865,23
San Luis Potosi,AVENTURATE 5,2016/04/21 00:00:00,2314,24
Sinaloa,AVENTURATE 5,2016/04/21 00:00:00,3965,25
Sonora,AVENTURATE 5,2016/04/21 00:00:00,5008,26
Tabasco,AVENTURATE 5,2016/04/21 00:00:00,2139,27
Tamaulipas,AVENTURATE 5,2016/04/21 00:00:00,12156,28
Veracruz de Ignacio de la Llave,AVENTURATE 5,2016/04/21 00:00:00,2345,30
Yucatan,AVENTURATE 5,2016/04/21 00:00:00,959,31
Zacatecas,AVENTURATE 5,2016/04/21 00:00:00,2352,32
Oficina Virtual,AVENTURATE 5,2016/04/21 00:00:00,10316,33
Aguascalientes,AVENTURATE 6,2016/09/01 00:00:00,1057,1
Baja California,AVENTURATE 6,2016/09/01 00:00:00,2287,2
Baja California Sur,AVENTURATE 6,2016/09/01 00:00:00,1857,3
Coahuila de Zaragoza,AVENTURATE 6,2016/09/01 00:00:00,10069,5
Colima,AVENTURATE 6,2016/09/01 00:00:00,3374,6
Chiapas,AVENTURATE 6,2016/09/01 00:00:00,663,7
Chihuahua,AVENTURATE 6,2016/09/01 00:00:00,4825,8
