Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,1403.408,1477.941,1538.934,1727.182,1701.773,1762.679,1844.294,1848.559,1932.734,1967.812,2044.47,2202.687,2274.789,2318.43,2440.552,2400.875
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",5453.433,5186.281,4976.768,5143.01,5009.441,5640.589,5546.283,5496.798,5571.351,5355.859,5373.076,5433.963,5665.249,5306.597,5305.948,5430.746
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4.00465749554,3.085444181645,3.850403331746,4.142051269423,3.797042790904,4.306080750982,3.897091162624,4.007450251653,2.727420167573,3.956485043623,3.691527461085,3.715793741145,3.491258973342,3.391894006674,3.367950925606,3.296383079502
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",4.00465749554,3.085444181645,3.850403331746,4.142051269423,3.797042790904,4.306080750982,3.897091162624,4.007450251653,2.727420167573,3.956485043623,3.691527461085,3.715793741145,3.491258973342,3.391894006674,3.367950925606,3.296383079502
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43.8291715446,47.36010900133,39.115398615066,34.021371747471,34.674215463047,34.75517914865,35.716196312849,38.482442146137,35.396571490901,35.515010959746,32.320775128293,33.379780902433,35.40735070696,34.796634810241,32.575795843657,33.966983164067
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.457978173013,0.485428567387,0.454357058419,0.589515199743,0.606066297017,0.57628648504,0.541773362289,0.558508767819,0.503136406437,0.604942685885,0.458742651126,0.407759194232,0.356940587621,0.369442865763,0.378439744795,0.376217928915
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.457978173013,0.485428567387,0.454357058419,0.589515199743,0.606066297017,0.57628648504,0.541773362289,0.558508767819,0.503136406437,0.604942685885,0.458742651126,0.407759194232,0.356940587621,0.369442865763,0.378439744795,0.376217928915
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",0.595846315764,0.646510463947,0.822652536989,1.000863603248,1.051453416485,0.96611653134,0.988398147139,1.01825488212,1.02463231622,0.95146831744,0.990781819324,1.076730161267,1.026425312529,1.032078061607,1.055357678769,1.066236118137
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,17.869620393622,21.185692394888,14.937357086711,7.309635157734,8.684562241307,10.487006165643,12.487445181053,15.465805237043,9.488177380676,10.273050177905,6.915296514244,8.404562024986,11.522512766011,10.282956713416,7.865423758531,9.475035047337
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,24.905726662201,25.042477575108,22.901031932947,25.121357786746,24.332133508239,22.725769966626,21.698579622369,21.439873259155,24.380625387568,23.685549778516,23.9559541436,23.490729521948,22.5014720408,23.112157169455,23.276574661562,23.049494069679
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,4.881549139163,4.852802208003,5.156230040891,5.632955087624,5.543112717149,5.125383212974,4.974867117538,4.80352266188,5.280056003517,5.214467249107,5.016320082707,3.620077124918,3.480765135159,3.844512636176,4.020656188022,4.160858094909
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1.736476049384,2.428644122218,1.690121324136,1.95440915382,1.661873065297,1.917814488703,1.771609158996,1.621899390795,1.400090262037,0.974057636862,0.956809881863,1.97494253467,2.23520202424,2.333002671608,2.444501138655,2.256375261747
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",2.590063159107,2.048587293892,2.025043643497,1.829448205721,1.645659360878,1.457721072488,1.135930191916,1.236123645064,1.288910363651,1.257690830844,1.740077568135,1.668071438586,1.709401523615,1.705189040572,1.619744091854,1.63580224185
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1.229797622428,1.185295913018,1.307100686423,1.396331905994,1.178620643774,1.135867220826,1.230451166039,1.179689612483,1.448989657178,1.330191958836,1.421196079603,1.283748560604,1.222141915757,1.188595621246,1.176108313352,1.159450213754
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.232279011172,0.221840515614,0.237229705381,0.235369309724,0.259553414696,0.231786715139,0.235555550662,0.202110382171,0.215876143106,0.217599026035,0.232892410387,0.244278484567,0.228314990077,0.239029908541,0.228216247448,0.245514452786
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,1.089956005335,1.060250431759,1.290678993183,1.603141684521,1.776289021455,1.761382030466,1.870068252166,1.813196787574,2.056716533418,1.867158720586,2.308778684492,2.492089621693,2.082782595734,1.78072576246,1.814985184505,1.687485264979
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,2.143694011974,2.018081577927,2.431304906292,2.629466857682,2.543830501337,2.486948746012,2.487924753176,2.402445376408,2.97828339841,2.746987800667,2.681569903932,2.61480292057,2.555071560306,2.647232966143,2.945800581466,2.995266478457
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,0.930934571866,0.908666280654,1.148161299499,1.316550094907,1.413347298143,1.43695871036,1.337936491683,1.33355311367,1.448040007653,1.402258249102,1.451614419388,1.446992796523,1.395173279529,1.472164836267,1.507228155178,1.362863959612
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,6.910266349851,6.986709950013,4.347938128953,4.644957074941,4.371715600134,3.644868468802,3.397718337749,3.292268610727,4.162399878956,4.068488565564,3.60138814591,3.647215249807,3.226060284709,3.320647367398,3.193137618758,2.898284959297
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",2.657991275057,2.89808088297,2.793244373476,3.431542258079,3.485460494706,3.084081680507,2.805972826122,3.121296653843,3.608842545889,4.08629022153,4.046343066213,4.001782216432,3.91532265473,4.06172391071,3.80490315482,4.033628685609
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",0.221624892231,0.215303019622,0.218854159862,0.225724931286,0.212251210216,0.197350552496,0.198889080962,0.178678306152,0.194442193014,0.197555342303,0.189179166166,0.189922673527,0.201750197898,0.210020680543,0.207733397427,0.231732715144
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,0.281094574632,0.21821537942,0.255124671353,0.221461222448,0.240420180453,0.245607067852,0.251656695359,0.255088718389,0.297978400739,0.32280417708,0.309784734803,0.306805900051,0.249485879044,0.309311767791,0.313560590078,0.382231741536
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,52.16617095986,49.554446817025,57.034198053189,61.836576983105,61.528741746048,60.938740100369,60.386712524528,57.51010760221,61.876008341526,60.528503996631,63.987697410622,62.904425356421,61.101390319698,61.811471183085,64.056253230737,62.73663375643
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,2.658080159477,2.609117991557,3.13514834059,3.444495151325,3.763911758926,3.793791928794,3.682755455041,3.7576796349,4.175263736096,4.476354119433,4.602770295766,4.692873423869,4.699467415458,5.128526853413,5.846490062353,5.961984928276
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,6.649158758215,6.116026855187,6.954030194952,7.61726669328,7.681805620488,7.275187427647,6.405276614632,6.256516307205,7.371155196572,7.229414078629,8.489263069858,8.291056836973,8.213819457437,8.826705604832,9.343651772059,9.181279489571
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",6.931127763354,6.733221048777,8.052270505639,9.465424633689,9.624528090021,9.321514979737,8.751934345598,8.400383488838,8.74405084384,8.327918713949,8.639824953543,8.150478720103,7.44060224156,7.31218301692,7.004923800785,6.528931939143
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,0.166947761642,0.173953079044,0.223424080333,0.263131562032,0.308035073791,0.311429425687,0.332493959777,0.317091950777,0.348627150266,0.409750592094,0.457633791755,0.462021078784,0.537992936999,0.689920573816,0.723782777937,0.794538574052
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,0.588347593717,0.62576087488,0.706956479763,0.871807132357,0.966035339118,1.163718144568,1.189137006293,1.301853939999,1.476904936212,1.685028440334,1.930512757108,2.096299977069,2.236987570785,2.31514292707,2.374815812789,2.559212821866
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,13.608400423253,13.182715885213,15.582716134439,16.438284567041,16.760868854606,16.464231233421,17.226541429832,16.4392070045,17.501955877005,17.211737980665,17.858231508025,17.64901138946,16.938211032452,16.995570085998,17.250507718061,16.87783443994
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",0.416579654025,0.369414185787,0.441677831101,0.4847584028,0.535712841678,0.546550803941,0.491677649725,0.480461150462,0.529118677934,0.472016907825,0.450016657988,0.466569330831,0.481680421844,0.502241030747,0.537540009609,0.50025557699
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",0.89732665214,0.859416772943,1.038732958205,1.106802837964,1.274843639056,1.417282275989,1.395890091367,1.366837696425,1.498068056023,1.630260017057,1.789710433011,1.626270836431,1.428258163118,1.525755383933,1.658804362175,1.690246032951
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,6.353142411362,5.752555442588,6.698587659961,6.738422708126,6.834402914326,6.785204570651,6.873981291549,6.328745878584,6.516371824124,6.129698347954,6.319024499449,6.211512240323,6.276947584893,6.050658048377,6.51264657809,6.268815957351
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2.516842816768,2.344358313584,2.619149702408,2.917090673103,2.866741636278,3.037732746212,3.15573505255,2.96388399823,3.376364390356,3.22671279105,3.397695698963,3.273039747568,2.894969235551,2.866335744375,2.836275774651,2.858901820551
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",0.147748727013,0.128289727567,0.149276080071,0.157885613307,0.155115998918,0.149509668781,0.158345662129,0.146907068432,0.159761968778,0.15509694151,0.153394494609,0.147257947684,0.13857083302,0.15018477646,0.148867670857,0.150111232929
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,2.99643671971,3.237585189308,3.213558488593,3.510822078755,2.263636630889,1.7794295732,1.681324813098,1.479661847556,1.455904547042,1.429736434623,1.437669257914,1.399401902646,1.595154492474,1.605524589625,1.769740059698,1.496512053982
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,1.685690615004,1.646002276652,1.941155393202,2.217464967938,2.153609460785,2.117413776555,2.256306098163,2.081478856982,2.246536013877,2.188437073215,2.332335101318,2.434007691629,2.354632833406,2.384621488665,2.535605406242,2.412030132838
