Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",1077.769,1009.057,931.548,883.747,798.841,722.443,703.599,721.945,697.815,780.484,712.313,695.028,664.3,594.726,486.706,470.085
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,955.929,870.236,868.573,819.703,782.736,781.055,853.643,839.655,934.323,877.728,750.7,779.557,753.71,859.846,849.113,832.917
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,198744.07400000005,202680.966,208351.49899999998,215989.41799999998,218394.76799999998,222950.59,220248.11800000005,229358.19900000002,238204.815,246500.488,251509.71899999998,264974.50499999995,275932.4919999999,286465.2949999999,298457.112,305310.431
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,23565.334,24364.431,25992.767,27044.544,28205.761,28687.267,27113.439,30964.317,33819.408,36039.649,36452.187,40957.785,43531.577,45816.371,53090.98,54254.616
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,35235.326,36243.213,38115.989,40791.471,38155.899,39384.287,37045.896,36535.579,38993.524,39973.285,42236.344,47366.112,51300.119,52039.543,50472.929,51641.27
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",23524.129,23281.638,23272.282,23675.975,23966.063,22511.727,21758.413,23304.744,24816.36,25842.254,26654.987,27238.766,27920.323,28783.542,29971.018,30950.243
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,930.017,1036.552,1161.697,1374.483,1665.13,1787.29,1929.698,1992.821,2086.48,2563.8,2756.717,2885.648,3117.015,4210.252,4331.152,4852.728
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,3336.882,3996.925,3889.675,4387.661,4850.587,5852.466,5931.495,7379.985,7952.278,9345.013,10389.178,11436.105,13245.507,15422.607,16860.94,17454.493
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,40581.022,41459.045,42178.641,43955.003,45620.399,47358.656,48411.226,50132.433,51494.686,52719.016,53112.102,53970.33,55095.026,55791.053,56274.649,56964.365
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",1870.62,2326.305,2258.2,2505.194,2291.014,2514.903,2304.461,2350.546,2452.358,2630.332,2452.441,2340.432,2375.236,2716.924,3061.172,2751.109
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,209,211.593,218.205,228.284,235.545,243.066,245.866,251.786,261.404,274.484,255.363,252.304,262.376,287.597,296.258,301.606
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",3963.443,4066.115,4635.016,4858.447,4744.595,4858.925,4992.953,4965.787,5149.194,5694.333,5790.331,5719.729,5690.865,5757.77,6576.176,7020.736
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,23490.508,24580.606,23881.299,23891.957,24630.471,24916.862,25352.529,26313.419,26591.758,25999.101,26513.883,26810.058,26433.156,27095.338,26805.635,27110.877
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,8606.135,8566.586,8283.545,9054.85,8934.422,8826.488,8612.62,8266.261,8111.809,8104.686,7809.337,8107.212,8746.311,9083.373,9406.961,9630.184
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",1442.385,1456.771,1445.08,1503.576,1578.231,1598.27,1537.763,1592.486,1615.055,1666.769,1733.943,1711.32,1790.954,1884.276,1937.245,1986.793
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,7477.54,7331.995,8951.234,7807.425,7415.091,7687.477,7648.239,7457.483,6745.784,6793.939,6363.175,6748.489,6299.305,6807.536,7563.947,7812.938
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,8770.584,8300.275,8667.387,8927.184,9867.292,10322.738,9833.695,9651.053,9781.381,10037.705,10619.85,10646.93,10251.389,10514.948,10766.877,10992.128
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",15741.149,15458.916,15400.482,15983.364,16234.268,16400.168,17529.825,18199.499,18333.336,18816.122,18369.881,18783.285,19873.333,20254.165,21041.173,21586.345
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,11.139924511944,10.267999933374,9.862955775432,10.757498392284,10.982718639675,11.563808110033,11.345084820984,10.287184967968,11.101300207521,10.740746366307,10.999213397066,11.449552932953,10.935057809287,12.234301167154,12.65335575009,12.91464511768
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",11.139924511944,10.267999933374,9.862955775432,10.757498392284,10.982718639675,11.563808110033,11.345084820984,10.287184967968,11.101300207521,10.740746366307,10.999213397066,11.449552932953,10.935057809287,12.234301167154,12.65335575009,12.91464511768
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,21.367557634539,22.400972086917,22.054191763426,21.84089235415,22.488719193667,21.8157473485,19.176680329774,20.161277684146,19.507000939047,19.236750718341,19.03318797169,19.401767224088,18.61423065325,17.599863921064,16.643102855625,16.140992244566
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.910683066856,1.065888478543,1.389056326334,1.227442501691,0.743976819968,0.596228541603,0.547089702691,0.572658729068,0.577256475717,0.649843617051,0.813986887722,0.654024428065,0.572621776152,0.54048934482,0.509616944945,0.482617568209
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.910683066856,1.065888478543,1.389056326334,1.227442501691,0.743976819968,0.596228541603,0.547089702691,0.572658729068,0.577256475717,0.649843617051,0.813986887722,0.654024428065,0.572621776152,0.54048934482,0.509616944945,0.482617568209
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1.45153923628,1.870702372954,1.771363545292,1.968422821124,2.138976195334,2.154642008556,1.962507034869,2.106990245181,1.99119271094,1.932000830372,1.960866188989,2.066090995057,1.949373983051,1.868683767889,1.914194312723,1.901329239084
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,5.499409162221,5.440272297764,4.823816912917,5.228758445282,5.840008561188,6.126241496862,5.621706936175,5.533823764069,6.361109536737,6.159082795316,5.368038617796,5.79337633873,6.161765337083,5.612684676623,4.769581121408,4.831361205526
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,13.505926169182,14.024108937656,14.069954978883,13.416268586054,13.765757617177,12.93863530148,11.045376656039,11.947804945828,10.577442215653,10.495823475602,10.890296277183,10.888275462237,9.930469556965,9.578006131733,9.449710476549,8.925684231747
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,3.2633970462,3.30827475853,3.213425430182,3.166361007237,3.243397194261,3.235357822735,3.470327581273,3.359932699201,3.262148230817,3.356942592572,3.462179580289,3.426832300562,3.502402526801,3.376231300566,3.041872224013,2.973710869369
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,0.244865401576,0.357854668802,0.190372467708,0.178892010922,0.16460151559,0.15311994086,0.1664088132,0.154328237436,0.16518619275,0.161364479027,0.160308908448,0.212011722899,0.347423832644,0.388607589275,0.383081113235,0.386800639066
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",0.161157921016,0.160708378569,0.140352272555,0.147500045764,0.143554347385,0.134622843552,0.16890878921,0.155999112829,0.163971716911,0.162528867146,0.162467388048,0.146313895483,0.135581607754,0.147410193004,0.123547852092,0.130704422594
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",0.324094641275,0.297735071155,0.266220827128,0.248927586298,0.237512047548,0.230041773344,0.22519184532,0.221376130547,0.21489405669,0.226391819977,0.229986710815,0.220536879208,0.207657552205,0.203820071358,0.16264435604,0.151982356877
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.662101475872,0.78955485865,0.696918316474,0.634303621417,0.699672122698,0.600051549954,0.678141126482,0.708524551528,0.712403253847,0.690709123358,0.665749775096,0.59579876915,0.632228213022,0.56827568735,0.575045241371,0.562245421437
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,0.201041669999,0.194449474168,0.174261439115,0.171316447816,0.166773798292,0.168336972303,0.180955045851,0.162992529944,0.15267525635,0.140834717203,0.132336303629,0.127012511531,0.125148521731,0.124860105074,0.118378289638,0.115111835238
