Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",592.468,659.333,715.604,788.489,785.332,921.331,847.934,786.267,840.482,890.987,955.949,942.989,977.395,973.244,997.24,1073.59
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",1651.403,1704.962,1763.042,1667.556,1668.512,1645.463,1605.582,1630.053,1794.126,1858.897,1965.111,1939.001,1922.229,1955.763,2085.311,2185.872
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,4578.053,4507.602,4602.99,4495.855,4614.176,4754.806,4620.211,4690.026,4506.401,4632.559,4784.86,4702.229,4789.76,4937.631,4990.358,5049.249
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2268.427,2223.548,2202.816,2388.466,2599.953,2739.652,2764.664,2730.634,2600.903,2697.434,2522.145,2364.097,2239.679,2478.904,2443.973,2584.976
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",196.734,195.869,193.118,211.116,227.319,228.968,226.651,235.682,233.356,239.598,251.913,244.261,255.467,264.12,269.518,279.386
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,3225.666,3185.748,3370.707,3498.966,3180.688,2869.044,3074.594,3081.683,3179.156,3222.677,2873.769,3405.377,3253.351,3444.467,3766.559,3471.899
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,1587.835,1677.335,1740.49,1793.994,1821.274,1833.867,1832.784,1900.472,1922.177,1991.81,1993.556,2108.341,2126.825,2143.058,2119.194,2167.367
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",4579.958,4533.939,4776.503,4857.385,4901.647,5135.144,5312.2,5265.933,5096.279,5370.063,5177.652,5413.671,5723.517,5684.209,5552.983,5707.99
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101
