Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,267223.13,274369.9710000001,280677.426,293331.41,303434.94899999996,313522.625,301677.125,325179.979,343566.684,357114.915,364728.3699999999,369839.559,389605.473,407276.95,428522.0839999999,445879.74
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,143730.22999999998,151370.588,152986.09500000003,154350.651,156257.38,156328.657,153015.512,160852.75300000003,164149.904,166954.27199999997,165911.12099999998,171289.27199999997,178075.87600000002,180488.27499999997,181024.304,185525.56500000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,104441.63999999998,107270.06800000001,109123.11899999998,114377.97,116862.565,122019.18800000002,115612.97200000002,125315.809,132708.14,137558.137,144609.86600000004,148889.388,156037.75400000002,163822.663,167836.32100000003,174807.44199999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,493410.708,512890.712,524995.3809999999,546625.4979999999,562504.912,578115.373,555360.3129999998,586324.6610000001,610948.941,636438.2919999999,650448.2470000002,667606.5269999999,690327.0599999999,735084.5359999997,752625.212,781804.05
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,695778.1490000001,716454.5089999998,741031.7360000001,782660.1980000001,810448.9079999999,829063.222,798576.5129999999,849988.751,895664.115,943191.836,962834.0500000002,1010190.725,1039874.827,1081890.81,1116350.0939999996,1152591.6390000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,198744.07400000005,202680.966,208351.49899999998,215989.41799999998,218394.76799999998,222950.59,220248.11800000005,229358.19900000002,238204.815,246500.488,251509.71899999998,264974.50499999995,275932.4919999999,286465.2949999999,298457.112,305310.431
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,99742.942,102460.88799999999,104776.99600000001,107955.88999999998,107817.37999999999,107475.92100000002,102009.59700000001,106198.74399999999,110930.50699999998,115626.195,120292.094,120628.95000000001,125876.25500000003,129643.383,132780.238,133876.822
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,56953.884,59009.16099999999,61137.755999999994,64039.817,63409.168,67098.98000000001,65424.50400000001,70114.76499999998,72159.414,71795.477,74702.831,77434.824,83325.60299999999,86663.21799999998,90256.954,90947.10700000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,492409.238,519489.09199999995,535785.505,571085.553,604354.3090000001,622289.9419999999,583628.5819999999,624634.449,661317.3630000001,696085.317,710781.2310000001,734761.2100000001,760735.259,791412.0599999998,824581.3459999999,852743.1919999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,136310.897,142493.521,148075.32600000003,150847.113,152662.56100000002,155261.69299999997,150205.88,155252.415,159313.50699999998,161978.23600000003,162932.33000000002,165623.56800000003,173820.23700000002,174893.70399999997,179681.34999999998,184356.62200000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,248836.964,257020.73299999995,261622.059,271945.716,281166.376,283979.70000000007,272370.08100000006,290320.18400000007,304072.8439999999,315729.43499999994,324318.6609999999,328556.29300000006,337113.3829999999,346388.574,356286.54799999995,366407.4
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,122835.91499999998,131454.131,140760.977,151697.02800000002,161216.39800000002,169221.71300000002,164576.42299999998,172610.52799999996,185430.58499999996,189792.27699999997,192482.33700000006,202416.62499999997,216860.37500000003,224634.41800000006,229475.63399999996,238435.61899999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,124621.69200000001,134883.07200000001,136709.846,144544.666,163452.568,172342.484,157560.953,170027.715,179983.255,190226.88399999996,197815.693,203616.52300000002,216864.76,228152.195,242526.313,254433.874
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,138343.544,144914.32200000001,149617.57299999997,156552.696,161648.718,163650.975,155225.88700000002,163253.845,171010.55499999993,175291.92199999996,179189.54199999996,182839.74,191879.99100000004,199316.98699999994,206485.67099999994,215064.32100000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,184390.932,188220.658,194207.02300000002,198092.61299999998,199198.66299999997,203260.04200000002,194841.69699999996,206327.54700000002,215622.628,224846.316,229060.94700000004,234759.34300000005,246225.96800000002,259499.09300000002,266237.013,270087.39300000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,187003.384,194164.791,200180.338,205875.526,209745.027,214921.31900000002,208424.201,223402.069,235491.99500000002,245955.29799999998,251809.35499999998,258459.167,261237.535,269946.50299999997,275075.68000000005,282116.106
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,120553.055,125114.94699999999,130816.336,136694.628,139917.087,144228.562,138456.259,144408.78,151956.52,159370.61800000002,164763.86899999995,166842.374,172345.05799999996,169846.957,169643.63899999997,169895.734
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,216979.33,223669.847,231148.391,238381.059,244437.90699999998,246818.09699999998,233427.27800000002,245444.492,258050.17099999994,267017.73,273873.16,276264.60399999993,287993.95399999997,291568.889,298402.05199999997,303379.8570000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,43430.521,44494.804000000004,45216.30100000001,48164.469000000005,48619.748999999996,50729.545000000006,49359.815,51074.661000000015,53233.006,54426.38399999999,56090.10800000001,56926.17999999999,59029.488,60095.73000000001,61654.947,62446.490000000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,362805.677,376075.70200000005,383949.843,399951.10899999994,410356.31799999997,413231.4089999999,401594.40599999996,423656.4390000001,439012.11799999996,455808.24900000007,456008.29400000005,474443.638,493349.8889999999,494440.222,508308.00800000003,516601.25899999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,113260.47299999998,118423.48099999999,123281.73500000002,127040.91100000001,129961.06999999998,133675.03399999999,128724.21099999998,134708.522,139940.239,147128.394,152587.11599999998,155269.86400000003,163308.58899999998,168358.065,173183.641,179774.922
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,60405.283,61813.62099999999,63934.416999999994,66517.65299999999,68470.549,69580.86300000001,68492.47,72570.179,75164.10900000001,77599.073,79282.10500000001,82217.62199999999,83922.76000000001,85792.504,88983.686,89511.927
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.958961888794,0.957614767505,0.952664011177,0.946621288602,0.965155102827,0.977547412257,0.959927619733,0.949838889213,0.958857499772,0.962974484668,0.964698546739,0.987043086191,0.999386751386,1.074309440332,1.097593306132,1.107188744063
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,2.886517667094,2.884449798937,2.922593826948,2.902132389348,2.892712422137,2.841793108492,2.783451737542,2.784412310667,2.808410373061,2.80505441342,2.824516940465,2.773523422103,2.805240992184,2.842449384587,2.83884813453,2.798287482485
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.677997576708,0.703523408399,0.753024800331,0.779674196699,0.825140472043,0.800841314358,0.795516814178,0.817971881311,0.823158931185,0.833742101555,0.814195667433,0.799332013453,0.814594544198,0.836391286255,0.852947622604,0.888471177784
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,0.761257615873,0.770316988203,0.780518648242,0.774294503223,0.762813954972,0.776106468774,0.774111119212,0.761583340073,0.769605294961,0.764548423427,0.764827120592,0.768751319947,0.745000603858,0.687310895044,0.657184351463,0.654324953734
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2.446200419649,2.452940983767,2.476907983506,2.481117450642,2.491989578664,2.476650734623,2.453519331932,2.497929603452,2.514278563649,2.516363968113,2.499156273774,2.457031108332,2.455495673371,2.442940245809,2.469805168098,2.471891073118
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.584969195861,0.577806647476,0.583687536383,0.589529522863,0.599535813692,0.600712748372,0.609896444526,0.620122766968,0.622376318977,0.625725454579,0.619950627741,0.631509419953,0.61763067855,0.643764978006,0.663314687714,0.668941474566
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,1.922836114198,1.907913522794,1.916117114282,1.856734584024,1.886649191267,1.851965801867,1.899139301487,1.850762793152,1.856035170423,1.834442455043,1.843716228918,1.887629859034,1.827666804758,1.814866876734,1.790692373909,1.74451025477
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chihuahua<C1>,2.651746722002,2.636468901781,2.659423051251,2.712019226732,2.722582600633,2.755562022619,2.642908313094,2.639891160371,2.637859253397,2.639907921567,2.617018967351,2.585992453606,2.614448025618,2.620126342812,2.616516563684,2.621864765158
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,24.551775935192,24.677378675506,24.390461731436,24.398465782259,24.185387410978,24.242597521876,24.356769501971,24.155541300312,23.898740399857,23.893100568174,23.945065785748,23.778386435818,23.992163109687,24.117188763994,24.130653865882,24.138765657937
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Durango<C1>,1.136228093818,1.137922910059,1.141080771718,1.127789824113,1.11799678558,1.116440484272,1.126981051803,1.130976365952,1.12037625403,1.113824737242,1.114273914745,1.10713571511,1.094427690406,1.100579114624,1.045601890316,1.036471285059
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guanajuato<C1>,3.558650171736,3.511809391558,3.498142548725,3.501223789224,3.51434827662,3.548017470082,3.560702697508,3.632813886692,3.673345017987,3.668523856536,3.666937850297,3.621862503832,3.659858666221,3.683303906717,3.759510768621,3.801856303142
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guerrero<C1>,1.914076852828,1.937473881003,1.90669829031,1.842339936127,1.809754795622,1.769112535692,1.806045938481,1.796999054518,1.755057344447,1.715066226743,1.668051677417,1.677446818407,1.672801290508,1.632287730558,1.58816277079,1.581909818754
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Hidalgo<C1>,1.390864855607,1.373007515591,1.360024676952,1.365223279454,1.353488631625,1.380845196449,1.364582817697,1.399990899062,1.418888406873,1.413089417576,1.453891264784,1.458083318815,1.46578055446,1.481568388873,1.472461933059,1.490520235801
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Jalisco<C1>,6.570823793436,6.564765133296,6.543129265266,6.524559362374,6.514866446968,6.542313949836,6.554931748929,6.550244505031,6.532141657445,6.537920874616,6.539533232865,6.53791350496,6.484763814054,6.647908120545,6.602932952341,6.666162170353
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|México<C1>,9.265781107455,9.170288075476,9.235636376604,9.341885698896,9.386524961956,9.382196246469,9.425618677603,9.495821199265,9.57625831562,9.689098960362,9.680224824573,9.892862511758,9.768330172767,9.784331391977,9.79396478419,9.827734688464
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,2.646704396702,2.594223111569,2.59672911402,2.578064478407,2.529422794154,2.523047860693,2.59959407888,2.562321496287,2.546837371579,2.532218294147,2.528650316724,2.594912309342,2.592042443249,2.59071558116,2.618424506998,2.603272322964
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Morelos<C1>,1.328291595408,1.311452224288,1.305858020214,1.288568892962,1.248728351304,1.216264521009,1.204021840269,1.18642074195,1.186046389851,1.187789803733,1.209403130829,1.181327038305,1.182450798717,1.17246011365,1.164907838498,1.141519548669
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nayarit<C1>,0.758463345136,0.755290110767,0.761972876284,0.76438363944,0.734397606529,0.759333886238,0.772207066996,0.783301274382,0.771513759226,0.737531279437,0.751053828136,0.758324194131,0.782740365297,0.783758986184,0.791842481812,0.775473296904
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nuevo León<C1>,6.557487068477,6.649221361391,6.677608879136,6.816516253222,6.999561294114,7.042220910444,6.888582839253,6.9782300479,7.070670567942,7.150655109432,7.14611424177,7.195563619437,7.146161240787,7.157319196239,7.234218645055,7.271034740145
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Oaxaca<C1>,1.815272491638,1.823851507729,1.845494330196,1.80052146673,1.768120020198,1.757038105937,1.772883781286,1.734433746164,1.703347572655,1.663949048462,1.63810324904,1.621962216027,1.632824857029,1.581691925368,1.576380764183,1.571942661886
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Puebla<C1>,3.313798864166,3.289747127518,3.260651450726,3.245962681721,3.256436254939,3.213691314139,3.21479091972,3.243370638209,3.251084923626,3.243384456536,3.260663198694,3.217572834102,3.166760792068,3.132645704247,3.125773825744,3.124224220656
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Querétaro<C1>,1.635824151937,1.682552394937,1.754334040543,1.81066611035,1.867189565148,1.915018394737,1.942499661923,1.928353415349,1.982586051889,1.949673527248,1.93519568291,1.982278981248,2.037133402394,2.031533651493,2.013236072004,2.033054834447
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Quintana Roo<C1>,1.65960560988,1.726441262086,1.703843931939,1.725295027916,1.893088625925,1.950334984817,1.859695892982,1.899498997675,1.924344308878,1.954138101761,1.988816641942,1.994029659262,2.037174594013,2.06334748669,2.127732314018,2.169466205394
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,1.842341554094,1.854836646722,1.864715683078,1.868623695984,1.872196645091,1.851976450809,1.832135050226,1.823823339296,1.828410027768,1.800716158033,1.801551422877,1.790561291785,1.802473775659,1.802569570638,1.811540484551,1.833776175555
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sinaloa<C1>,2.455561469654,2.409137822337,2.420443496648,2.364446988834,2.307095739387,2.300217344715,2.299721452513,2.305029910678,2.305393227037,2.309772119992,2.302952897739,2.299013291425,2.312986611544,2.346840455951,2.335751072701,2.30293813636
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sonora<C1>,2.490351881541,2.48521998985,2.494890193898,2.457344371167,2.429242500234,2.432183624722,2.460036089003,2.495781385664,2.517832452605,2.526617736911,2.531662823236,2.531107186749,2.454001605907,2.441324040323,2.413294482964,2.405502649244
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tabasco<C1>,1.60542296574,1.601413756387,1.630391861403,1.631596436988,1.620503423184,1.632180317643,1.634202708966,1.613291885182,1.624688165901,1.637161847928,1.656517335346,1.633898061297,1.618967385763,1.536050494048,1.4883178988,1.44863986685
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tamaulipas<C1>,2.889546013355,2.862871131414,2.880851635095,2.845332638162,2.831051400101,2.793147448572,2.755148035989,2.74203277118,2.759019876425,2.742985161018,2.753489827469,2.705476972417,2.705344871698,2.636871121557,2.6179414545,2.586811012274
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tlaxcala<C1>,0.578370708461,0.569513019203,0.563540391111,0.574894398994,0.563108276324,0.574087155303,0.582595138491,0.570590902643,0.569156459253,0.559104309964,0.563923612667,0.557481729066,0.55450859444,0.54348972385,0.540911299183,0.53245877827
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,4.831537168069,4.813595953692,4.785248680364,4.773843814943,4.752699132767,4.676384226875,4.74002887938,4.732963571492,4.693828160856,4.6823679584,4.584655899726,4.64625695342,4.634408374278,4.471585247656,4.459488789969,4.404873279823
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Yucatán<C1>,1.508306566473,1.515766070321,1.536486524157,1.516369010049,1.505193992608,1.512750015875,1.519335101534,1.504923491545,1.496212536564,1.511401514448,1.534093635568,1.520567729199,1.53408100281,1.522585352649,1.519375051131,1.532876152553
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Zacatecas<C1>,0.804426139016,0.791185908439,0.796828258057,0.793959259552,0.793017932411,0.787420421436,0.808418346893,0.810732428367,0.80363934626,0.797149708927,0.797093331883,0.805162441468,0.788349912321,0.775884481433,0.780671844554,0.763236032818
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,75.495793265835,78.548816339505,80.668500790184,84.231144693028,86.807011602492,88.841757356502,85.180595233098,89.994227466221,94.0336568364,97.870238105975,100,102.663344162354,107.027341550766,111.169661074305,114.597694035873,117.911467556673
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Aguascalientes<C1>,75.046851424116,77.972032559803,79.662167832884,82.652757174041,86.848094145629,90.025044919745,84.759333686097,88.608008523525,93.464302805652,97.695329202142,100,105.041252941954,110.875783469899,123.800970546006,130.384421431068,135.327507350411
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California<C1>,77.152994882476,80.215527919593,83.469586979968,86.545748656494,88.902890683255,89.385158284965,83.942168095983,88.716421295273,93.497437913322,97.195856540516,100,100.809871431969,106.296932229861,111.875460960572,115.179146307979,116.816500187469
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California Sur<C1>,62.866908942515,67.871806750173,74.607841984752,80.659788184143,87.973912654348,87.384584046671,83.226426349415,90.41161786056,95.068848377537,100.219813568182,100,100.789160246773,107.079774548717,114.200234093078,120.052015250773,128.668015127884
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Campeche<C1>,75.143448816869,79.112633431107,82.323531027091,85.273796626699,86.578519585547,90.151958168269,86.214575994583,89.612544450526,94.621121894615,97.834574938226,100,103.190092519035,104.252885309381,99.902471025838,98.469064715896,100.875627284178
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,73.896075690263,77.096263586024,79.950363937408,83.623167217875,86.558079836172,88.041714690353,83.62511752587,89.95005525933,94.602650553046,98.544113989581,100,100.932876002737,105.15755932037,108.669010418189,113.251812202413,116.625081484596
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Colima<C1>,71.23585573015,73.209101179026,75.949916627178,80.097905089586,83.948479131171,86.084881349819,83.799160530875,90.01921580571,94.401583905234,98.781897280661,100,104.577471207104,106.626829020683,115.44005476237,122.613527966141,127.229278342624
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chiapas<C1>,78.735564337241,81.283847559111,83.836271831397,84.825895086493,88.828408443439,89.239273279352,87.7411684043,90.338179585622,94.661950442489,97.377957112296,100,105.108579525206,106.095675834342,109.430145711698,111.301952848813,111.566932633818
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chihuahua<C1>,76.497619931401,79.132598630146,81.975588709025,87.288814772476,90.308577182828,93.544974510488,86.023260077383,90.780758006113,94.782481484194,98.726230143909,100,101.446201413896,106.922198614349,111.301660834789,114.575694080067,118.129798083913
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Ciudad de México<C1>,77.408674375645,80.951077882461,82.16899460875,85.826062036401,87.678239198871,89.945669224751,86.645162836349,90.785270660807,93.851734369421,97.657841603801,100,101.948714283291,107.237852618909,111.968775736419,115.48589230662,118.865293969168
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Durango<C1>,76.983262498223,80.215911445044,82.609198615251,85.252850848542,87.097040191948,89.014499302356,86.151991479576,91.343199360174,94.548633693211,97.830785410758,100,102.005667951756,105.121087978218,109.803348655276,107.535107772108,109.678462974338
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guanajuato<C1>,73.266340646877,75.22583751848,76.955194354637,80.42462120509,83.194775607941,85.960580746708,82.712821325086,89.156754929703,94.197959977723,97.912568468419,100,101.401368640449,106.82072058173,111.665826817914,117.490746332675,122.249810180656
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guerrero<C1>,86.630859422618,91.23595036164,92.209668693638,93.032130739446,94.181377992136,94.224338945911,92.227399271204,96.951157963667,98.938457537153,100.628740854569,100,103.2415855957,107.332091379215,108.786122299782,109.1092043191,111.822259943624
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Hidalgo<C1>,72.223039055994,74.178941566822,75.460355519588,79.094167752012,80.812304327839,84.378190351134,79.948191086769,86.657855695683,91.769769014239,95.123618329056,100,102.959356867117,107.902564545631,113.285951734441,116.061459458098,120.882099427435
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Jalisco<C1>,75.857027868967,78.851886274666,80.712859696584,84.038276760857,86.479579981096,88.879534331346,85.381168380641,90.141631360258,93.927371442359,97.846107655049,100,102.637916249162,106.130974014294,113.011994327044,115.708700188103,120.194658622856
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|México<C1>,72.263558709832,74.411006652704,76.963598867323,81.287133333101,84.173270357441,86.106554083749,82.940202727562,88.279880733341,93.023726674394,97.95995852037,100,104.918466998545,108.001459545391,112.365241964594,115.944185189545,119.708234144814
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,79.02043499162,80.585739114122,82.840337076596,85.877165645436,86.833530278009,88.644920318169,87.570420290597,91.192578923759,94.709984149758,98.008335017861,100,105.353584765446,109.710468882517,113.89830028795,118.666234126722,121.391106559981
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Morelos<C1>,82.917287980705,85.17674320309,87.102146546722,89.744792371808,89.6296476475,89.345789424865,84.801580559401,88.284059632381,92.217620719114,96.121192303794,100,100.280031703497,104.642167921692,107.773818452275,110.381516843493,111.293117900167
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Nayarit<C1>,76.240596557847,78.991867122144,81.841283899937,85.726091157108,84.881880848666,89.821201019811,87.579684898421,93.858243471389,96.595286997892,96.108107335316,100,103.65714787971,111.542764691207,116.010620802309,120.821330051066,121.7451946366
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Nuevo León<C1>,69.277186358344,73.087058203426,75.37980487276,80.346177992986,85.026768102716,87.550137068828,82.110860071374,87.879986380788,93.040915285508,97.93242795968,100,103.37374960876,107.028045454959,111.343972727946,116.010568376981,119.972665963657
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Oaxaca<C1>,83.661049344842,87.455645543153,90.881488038623,92.582677115094,93.696911472389,95.292133243292,92.189119249691,95.286438854707,97.778941110092,99.414423153465,100,101.65175198808,106.682471796727,107.341314028959,110.279740061411,113.149196356549
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Puebla<C1>,76.726070350913,79.24944318884,80.668210146563,83.851393306042,86.694479785115,87.561936499238,83.982241465902,89.516953204244,93.757430751109,97.351609070685,100,101.306626016195,103.945108172483,106.805008670161,109.856937279351,112.977587805223
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Querétaro<C1>,63.816720492125,68.294126644981,73.129295494786,78.810882268122,83.756463326814,87.915450132965,85.502091030825,89.676035053544,96.336416052554,98.602437999285,100,105.16114265591,112.665077939073,116.703912421845,119.219060603987,123.874025386547
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Quintana Roo<C1>,62.998890588524,68.186234344916,69.109707084766,73.070373643207,82.628716418368,87.122756231479,79.650380923014,85.952591739018,90.985326932581,96.16369718453,100,102.932441765376,109.629704656445,115.335740830228,122.602160284624,128.621683214991
