Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1.351333418658,1.698633132953,1.345013208077,1.628034744362,1.081551810936,1.066707780802,1.133730923174,0.932826509212,0.628936565024,0.42275302274,0.406668066837,0.592480907149,0.585392318979,0.491285492499,0.462570889532,0.530659523078
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1.351333418658,1.698633132953,1.345013208077,1.628034744362,1.081551810936,1.066707780802,1.133730923174,0.932826509212,0.628936565024,0.42275302274,0.406668066837,0.592480907149,0.585392318979,0.491285492499,0.462570889532,0.530659523078
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",0.722918371951,0.72560685456,0.786945812086,0.773804203128,0.849948188374,0.876373970913,1.061949942562,0.93942864981,0.907722912762,0.95404535289,0.942740203808,0.993987294563,1.025048951218,0.970871080712,0.948758466824,1.101082479475
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,7.70223489739,7.896884623942,10.654220866181,10.998540173213,10.171543773906,10.224525212301,9.743637569929,7.852408419281,8.158880837018,7.894819518945,8.408593129498,8.858335084656,7.713626538632,9.603039580079,7.801201585986,7.541889915517
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,2.768499196647,2.683934678147,2.619155313573,2.57055388825,2.33725604299,2.283530392718,2.345220580842,2.159097260886,1.990994111447,1.666369268748,1.551307154365,1.585724390807,1.541688699679,1.567616696996,1.689807569355,1.817191952192
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,1.404669333,1.302615121183,1.183348184926,1.180354223665,1.129307545427,1.045558977678,1.159541527659,1.127932984563,1.06439118252,0.923026373698,0.881400760439,0.884555506093,0.864158828718,0.886611646704,0.9201738509,1.015402548485
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,0.182698802258,0.184191445635,0.160652692289,0.170844961224,0.161715702533,0.195959895907,0.217494049956,0.200411657097,0.200281141072,0.176597388999,0.159533335662,0.152130728507,0.14011437921,0.11858345631,0.11325171803,0.111904266303
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",0.024443778547,0.02410004756,0.02139457722,0.023274803575,0.021842404967,0.018525397929,0.018849394565,0.021041889117,0.018868854034,0.016363182564,0.015989068039,0.015869107221,0.015964171242,0.015947028392,0.014727880287,0.015825185273
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",0.066748238371,0.064397202937,0.060000611919,0.063064434633,0.056970134592,0.048516741431,0.050643677364,0.056230929555,0.050610071351,0.041861320292,0.040713328084,0.038414965838,0.036425062657,0.041611640762,0.046227844423,0.04752303103
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.227049950143,0.273028950087,0.308167688227,0.246984876889,0.1882604323,0.172861024972,0.177681315067,0.127228025167,0.097458989956,0.085141212662,0.079741587114,0.083300401797,0.070460020787,0.054810530026,0.081004434152,0.092021163506
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,0.081192919624,0.072497031205,0.076566303725,0.080371854545,0.069070935806,0.069042941444,0.069067589853,0.067720621925,0.056415835261,0.054462505334,0.049419222262,0.044898275043,0.047497828775,0.060505382026,0.049358065271,0.057102627274
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,0.024608095982,0.022263695682,0.023208463961,0.021319130505,0.018191377123,0.017858463901,0.022120220704,0.020177420691,0.020561615425,0.027723348831,0.023074259604,0.021824730093,0.017195066927,0.015156150552,0.018202625733,0.015087760125
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,0.492001762149,0.485287524055,0.524074584188,0.520939689784,0.455887564143,0.490240841551,0.40151612513,0.327732431988,0.299296520299,0.19112940826,0.169400933137,0.209834277475,0.214480111025,0.197161706874,0.254637912022,0.295580653015
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,0.15521272452,0.150150757671,0.159626309762,0.165476323217,0.150315765957,0.153399259549,0.145203568022,0.12932232419,0.101688952192,0.077385888382,0.06063141251,0.062626909526,0.05857263145,0.091254697242,0.101797549807,0.076821819312
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",0.017896040726,0.0185635932,0.018724149823,0.017011488151,0.012308676006,0.015631574137,0.022160614572,0.01560552544,0.009815880702,0.009249460819,0.012691286689,0.017340038222,0.022818003703,0.032397135582,0.040645890389,0.034706457194
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",0.076156624884,0.072987659569,0.069677321951,0.067514881267,0.062158191763,0.045180593593,0.046919362734,0.049877317224,0.052855115558,0.046184720031,0.043079349702,0.041065808614,0.043209244833,0.038835025476,0.034056220114,0.036798138678
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,0.015820926443,0.013851649364,0.013714425582,0.013397220795,0.011227312371,0.010754680627,0.014023135216,0.01581613393,0.018749953077,0.017244458878,0.015632611124,0.013863642377,0.010793350353,0.01474229705,0.015723578227,0.018418301997
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,86.403024771997,85.944754519801,83.52178408939,82.897979670429,84.732340883432,84.890005215828,84.859951174262,87.127202731651,87.347679198169,88.186452997323,87.811670911678,87.141651442866,88.331534543436,86.6253072867,88.325877950923,88.170083340235
