Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,6.068,6.242,6.643,6.968,7.244,7.716,7.589,7.854,8.255,8.778,8.45,8.577,9.002,9.864,10.048,10.183
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",1748.405,1793.226,1801.808,1799.184,1771.568,1815.001,1748.569,1786.77,1859.205,1928.31,1959.688,1915.75,2033.066,2083.698,2204.542,2238.773
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,6582.519,6648.175,6471.157,6488.489,6566.053,6485.821,6669.907,6691.865,6474.632,6166.164,6074.641,6551.606,6609.672,6918.999,6980.78,6910.127
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2846.039,2963.368,2838.859,3005.442,3001.826,3085.758,3073.947,2968.622,3047.362,3135.543,3049.716,2884.935,2778.583,2971.1,3151.556,3184.391
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",562.223,506.357,473.59,429.117,393.527,378.615,391.218,397.854,355.42,336.933,380.613,382.878,388.641,413.208,360.349,384.356
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,7442.226,7734.155,9260.542,9977.811,7684.346,9330.366,8603.284,10144.167,9612.622,7516.852,9533.392,10375.126,13702.374,14661.201,15691.512,15697.307
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,1882.616,2078.624,2225.785,2202.499,2158.356,2247.816,2258.797,2273.914,2301.558,2427.894,2479.301,2486.637,2573.9,2625.953,2582.133,2714.963
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",6390.608,6562.249,6455.882,6723.351,6679.505,6670.966,7111.881,7394.722,8090.302,8901.634,8571.77,8582.423,8754.34,8850.499,8620.676,8808.729
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8.323434315838,8.344034563213,7.878192149811,7.672780904592,8.38781112587,8.403441998704,7.925755722387,7.76568383407,8.424128655658,8.283207284333,7.589758617935,6.574211269072,6.250024046067,6.841055241374,6.890833932637,6.585553275774
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",8.323434315838,8.344034563213,7.878192149811,7.672780904592,8.38781112587,8.403441998704,7.925755722387,7.76568383407,8.424128655658,8.283207284333,7.589758617935,6.574211269072,6.250024046067,6.841055241374,6.890833932637,6.585553275774
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,16.840829107122,23.735208551457,24.394036028443,22.843865652098,22.445047233891,23.332230845995,21.754423870368,20.532161543476,19.921022130565,20.491275127996,20.322368417815,22.558885899287,21.219550520216,20.750574374404,18.886096324566,17.886735173823
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1.004416308185,1.69072717818,1.653131194517,1.442967441563,1.482617843441,1.402467665769,1.346294319436,1.150228518084,1.12495054822,1.202815851053,1.172802085208,1.305183979491,1.24120616846,1.228627331649,1.100751456231,0.921435003738
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1.004416308185,1.69072717818,1.653131194517,1.442967441563,1.482617843441,1.402467665769,1.346294319436,1.150228518084,1.12495054822,1.202815851053,1.172802085208,1.305183979491,1.24120616846,1.228627331649,1.100751456231,0.921435003738
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1.403545429408,1.607134310815,1.196544622481,1.09987884104,2.20366175936,2.917176410216,1.914305429934,2.556163024095,1.761372122065,1.512327086435,1.636855729522,2.809992795052,3.071426505985,2.852465527927,2.412916690748,3.439355717082
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,7.369189352065,14.311138027599,15.29786020353,14.360937345269,12.743208975995,13.61739999709,13.014315998677,11.238856216568,11.502085911843,12.106658340759,11.970908212658,13.088496466673,11.72848924182,11.616651936547,10.28018945564,8.426775655472
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,7.063678017464,6.126209034862,6.246500007915,5.940082024226,6.015558655095,5.395186772919,5.479508122321,5.586913784729,5.532613548437,5.669473849749,5.541802390426,5.35521265807,5.178428603951,5.052829578281,5.092238721948,5.099168797531
