Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",4786.133,5112.145,5004.368,4995.198,5446.376,5846.083,5229.094,4963.537,5127.612,5751.619,5260.462,5525.012,5438.417,6060.802,7102.385,7276.282
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,211.654,201.117,194.263,199.347,200.994,195.843,196.372,208.806,219.236,237.432,227.661,224.592,236.161,258.036,273.127,271.748
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",7959.302,8488.519,9205.589,9281.768,10044.495,10854.69,10511.23,10379.072,11466.825,11262.262,11155.59,10416.779,10251.005,10673.088,11571.563,12018.6
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,25781.497,26250.061,26443.451,26296.609,26588.673,26672.344,27792.436,28185.954,28683.088,29681.837,30577.942,30439.006,29698.655,28503.14,29825.904,30427.699
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,8812.241,8776.729,9433.741,10547.432,10641.566,11065.63,11735.516,12161.444,12728.951,12666.674,13305.272,13064.225,12145.964,13099,12910.664,13237.236
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",1130.485,1121.207,1092.655,1187.532,1211.35,1214.791,1226.922,1232.072,1236.54,1307.698,1386.937,1365.058,1421.331,1417.95,1373.569,1405.919
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,8037.292,7899.302,6506.905,6389.803,6274.178,6554.244,6298.04,6337.239,6562.144,7203.29,8389.824,9409.454,10288.333,10335.502,10870.542,11708.151
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,8508.997,8398.963,8807.922,9106.483,9449.948,9889.974,10369.822,10066.068,10516.415,10764.962,11213.192,10890.336,11163.29,11322.289,11720.458,11482.038
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",15669.855,15918.482,15417.155,15207.028,15115.95,15050.302,15419.699,15813.95,16844.624,17207.664,18152.599,17984.113,17155.883,17408.606,17313.996,17959.251
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4.736820207524,4.721739825623,4.528845339261,4.523273599837,4.57966972826,4.538769006565,4.619206194991,4.460505425222,4.014593608899,4.221041984143,4.271931406699,4.205220231562,4.463987560215,4.335092834369,4.096579928432,4.084762194969
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",4.736820207524,4.721739825623,4.528845339261,4.523273599837,4.57966972826,4.538769006565,4.619206194991,4.460505425222,4.014593608899,4.221041984143,4.271931406699,4.205220231562,4.463987560215,4.335092834369,4.096579928432,4.084762194969
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,32.410842793895,31.958303659015,34.370101278181,34.666157789313,35.060717675491,34.907246659559,32.416506355944,33.765015708309,34.351504106113,35.551231793212,33.269796209691,33.129976351704,33.043639946503,33.034934339511,35.23816376162,34.96595790307
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.852116987459,1.18395293388,1.146270982454,1.292630560016,1.183013206584,1.257218084458,1.237514999468,1.32810151435,1.812631105863,2.156201666724,2.267566069246,1.677547475161,1.502367292645,1.44326077003,1.174864247893,0.974993125296
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0.21061119319,0.556437743816,0.437997125569,0.536760167544,0.350924924825,0.475507071973,0.699448485991,0.826363140082,1.268113330501,1.64178122561,1.845272298788,1.241544213823,1.07734834728,0.99312210172,0.786899287507,0.581376685547
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.641505794269,0.627515190064,0.708273856886,0.755870392473,0.832088281759,0.781711012485,0.538066513477,0.501738374268,0.544517775362,0.514420441114,0.422293770458,0.436003261338,0.425018945365,0.45013866831,0.387964960386,0.393616439749
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",0.934433487956,1.04588443592,1.04199176899,1.196451970881,1.279485928434,1.375376095644,1.377715622765,1.768136517597,1.748892391955,1.693400368892,1.743426493419,1.959655182991,1.77483749398,1.802431283893,1.770434302604,1.805923294026
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,4.927840954105,5.336481676093,6.143346810227,6.606237324349,6.286957697677,6.377301050371,6.476224223313,6.271961715508,6.084472248224,6.38012351534,6.128172272305,6.661475934584,7.126396735509,7.455540338116,6.113586347777,6.378165251007
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,25.696451364375,24.391984613122,26.03849171651,25.570837934066,26.311260842796,25.897351429087,23.325051510399,24.396815960854,24.705508360071,25.321506242256,23.130631374721,22.831297758968,22.640038424369,22.333701947471,26.179278863346,25.80687623274
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,5.311713684218,5.486565952714,5.53264516336,5.707303874447,5.579828326436,5.692408280453,5.926310847556,5.329994069381,5.051385657916,4.842933618534,4.48531572164,4.37987459368,4.383199679208,4.645258478934,4.724910458413,4.745510905887
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,0.470543785787,0.536202860164,0.538482367622,0.485856928316,0.452919537227,0.499158291692,0.530598276647,0.406308227388,0.385904238056,0.361761108792,0.349700557933,0.286114707188,0.29084919957,0.277915930483,0.247699991649,0.240767083361
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",1.884867440344,1.97961708771,1.778508701077,1.619493130257,1.474352291061,1.348677769261,1.475529968102,1.391088164671,1.356519968744,1.287007369634,1.174909430846,1.153333581813,1.192053539204,1.118465373297,1.056103651377,1.05406540071
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1.525353445276,1.624450349817,1.495825951827,1.340831661031,1.224457010983,1.271355038802,1.423806429145,1.311831252113,1.00871601885,0.929786668483,0.913305982755,0.900669089359,0.89870177797,0.930279601969,0.888943872034,0.89245509497
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.090554288348,0.083459564131,0.090035413996,0.10182302581,0.107351846627,0.101431975729,0.101078491442,0.093225315162,0.086177809188,0.089079318526,0.084010882983,0.090108373149,0.076476801447,0.085623457376,0.095286870249,0.098417292614
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,0.296380017363,0.311740388879,0.263059427624,0.256178981621,0.240471013099,0.253597744319,0.312885279625,0.293534340563,0.300694497945,0.311268006445,0.322585829372,0.329977131399,0.348971101525,0.338049558396,0.357720238707,0.364616047269
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,1.374181425085,1.438741000444,1.331394133225,1.281455282018,1.271031351977,1.285622918512,1.395160079504,1.306784311029,1.268655943758,1.334004079591,1.378036580705,1.436053144274,1.487996656696,1.433603430384,1.369392531682,1.331745476969
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,0.582165381772,0.563055993216,0.549044064704,0.590105483189,0.625204368664,0.611310154984,0.638051331037,0.616858166295,0.580010195697,0.478660295822,0.460602195406,0.488975224476,0.466571849981,0.524336118018,0.501646714394,0.465733251954
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,1.946176243124,2.005688762784,2.345663636878,2.310405542265,2.174002143263,2.067716045423,1.943777737209,1.952529773101,1.798344992674,1.743851313854,1.526236737685,1.563836924064,1.608443281202,1.593768958328,1.589866024875,1.584022160232
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",11.720812655574,9.88566538103,11.642480311063,11.387258773873,12.660924349881,12.266140027695,9.073001554982,11.209858104333,12.387701757474,13.487505422708,12.05925545068,11.876403930299,11.565229472753,11.008888234845,14.93220256064,14.596373392141
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",0.332866087542,0.327720366881,0.308655980922,0.306128959081,0.304103277326,0.29362039219,0.300051082499,0.28471863096,0.291403791455,0.26571590228,0.195238370953,0.171710479254,0.172303965804,0.176993368146,0.185632817477,0.19294814905
